data://machine/cncModel		4.1.2.1 해당 장비에 탑재된 NC의 모델명을 나타내는 문자열 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
data://machine/numberOfChannels		4.1.2.1 해당 장비에서 사용 가능한 계통(채널)의 개수를 나타내는 정수형 속성입니다.
